StudentID,Gender,Age,MotherEducation,FatherEducation,StudyTime,PreviousFailures,Internet,Extracurricular,Absences,Midterm1,Midterm2,FinalScore,Attendance,Result
ST0001,F,18,4,4,2,0,no,no,4,0,11,11,96,Pass
ST0002,F,17,1,1,2,0,yes,no,2,9,11,11,98,Pass
ST0003,F,15,1,1,2,0,yes,no,6,12,13,12,94,Pass
ST0004,F,15,4,2,3,0,yes,yes,0,14,14,14,100,Pass
ST0005,F,16,3,3,2,0,no,no,0,11,13,13,100,Pass
ST0006,M,16,4,3,2,0,yes,yes,6,12,12,13,94,Pass
ST0007,M,16,2,2,2,0,yes,no,0,13,12,13,100,Pass
ST0008,F,17,4,4,2,0,no,no,2,10,13,13,98,Pass
ST0009,M,15,3,2,2,0,yes,no,0,15,16,17,100,Pass
ST0010,M,15,3,4,2,0,yes,yes,0,12,12,13,100,Pass
ST0011,F,15,4,4,2,0,yes,no,2,14,14,14,98,Pass
ST0012,F,15,2,1,3,0,yes,yes,0,10,12,13,100,Pass
ST0013,M,15,4,4,1,0,yes,yes,0,12,13,12,100,Pass
ST0014,M,15,4,3,2,0,yes,no,0,12,12,13,100,Pass
ST0015,M,15,2,2,3,0,yes,no,0,14,14,15,100,Pass
ST0016,F,16,4,4,1,0,yes,no,6,17,17,17,94,Pass
ST0017,F,16,4,4,3,0,yes,yes,10,13,13,14,90,Pass
ST0018,F,16,3,3,2,0,no,yes,2,13,14,14,98,Pass
ST0019,M,17,3,2,1,3,yes,yes,2,8,8,7,98,Fail
ST0020,M,16,4,3,1,0,yes,yes,6,12,12,12,94,Pass
ST0021,M,15,4,3,2,0,yes,no,0,12,13,14,100,Pass
ST0022,M,15,4,4,1,0,yes,no,0,11,12,12,100,Pass
ST0023,M,16,4,2,2,0,yes,yes,0,12,13,14,100,Pass
ST0024,M,16,2,2,2,0,yes,yes,2,10,10,10,98,Pass
ST0025,F,15,2,4,3,0,yes,yes,2,10,11,10,98,Pass
ST0026,F,16,2,2,1,0,yes,no,6,10,11,12,94,Pass
ST0027,M,15,2,2,1,0,yes,no,8,11,12,12,92,Pass
ST0028,M,15,4,2,1,0,yes,no,0,11,11,11,100,Pass
ST0029,M,16,3,4,2,0,yes,yes,2,12,12,13,98,Pass
ST0030,M,16,4,4,2,0,yes,yes,4,12,11,12,96,Pass
ST0031,M,15,4,4,2,0,yes,no,0,10,11,11,100,Pass
ST0032,M,15,4,4,2,0,yes,yes,2,15,15,15,98,Pass
ST0033,M,15,4,3,2,0,yes,yes,0,13,14,15,100,Pass
ST0034,M,15,3,3,2,0,yes,yes,0,13,12,12,100,Pass
ST0035,M,16,3,2,1,0,yes,no,4,12,12,12,96,Pass
ST0036,F,15,2,3,1,0,no,yes,4,11,11,11,96,Pass
ST0037,M,15,4,3,3,0,yes,yes,0,14,14,14,100,Pass
ST0038,M,16,4,4,3,0,yes,yes,4,13,13,13,96,Pass
ST0039,F,15,3,4,3,0,yes,yes,2,11,12,12,98,Pass
ST0040,F,15,2,2,1,0,no,yes,8,14,13,12,92,Pass
ST0041,F,16,2,2,2,0,yes,yes,16,11,11,10,84,Pass
ST0042,M,15,4,4,1,0,yes,no,8,10,11,11,92,Pass
ST0043,M,15,4,4,2,0,yes,yes,0,14,15,15,100,Pass
ST0044,M,15,2,2,1,0,yes,no,0,9,10,10,100,Pass
ST0045,F,16,2,2,2,1,yes,yes,14,10,11,11,86,Pass
ST0046,F,15,4,3,2,0,yes,yes,4,10,11,11,96,Pass
ST0047,F,16,3,3,2,0,yes,no,6,13,12,13,94,Pass
ST0048,M,16,4,3,4,0,yes,yes,2,17,17,17,98,Pass
ST0049,M,15,4,2,2,0,no,no,4,11,12,13,96,Pass
ST0050,F,15,4,4,2,0,yes,yes,2,13,12,12,98,Pass
ST0051,F,16,2,2,2,0,yes,no,0,14,13,13,100,Pass
ST0052,F,15,4,2,2,0,yes,no,0,16,14,16,100,Pass
ST0053,M,15,4,2,1,0,no,no,4,10,9,9,96,Fail
ST0054,F,15,4,4,1,0,yes,no,0,13,12,12,100,Pass
ST0055,F,15,3,3,1,0,yes,no,0,13,12,13,100,Pass
ST0056,F,16,2,1,2,0,yes,yes,2,12,13,12,98,Pass
ST0057,F,15,4,3,2,0,yes,yes,0,15,14,15,100,Pass
ST0058,M,15,4,4,2,0,no,yes,8,15,15,16,92,Pass
ST0059,M,15,1,2,2,0,yes,yes,0,14,13,14,100,Pass
ST0060,F,16,4,2,2,0,yes,no,2,16,15,16,98,Pass
ST0061,F,16,4,4,2,0,no,yes,0,17,16,16,100,Pass
ST0062,F,16,1,1,1,0,yes,yes,0,10,10,16,100,Pass
ST0063,F,16,1,2,2,0,yes,yes,0,13,13,10,100,Pass
ST0064,F,16,4,3,3,0,yes,yes,0,14,13,13,100,Pass
ST0065,F,15,4,3,2,0,yes,yes,0,13,12,12,100,Pass
ST0066,F,16,4,3,2,0,yes,yes,2,16,15,16,98,Pass
ST0067,M,15,4,4,4,0,yes,yes,0,11,12,12,100,Pass
ST0068,F,16,3,1,4,0,yes,no,0,10,9,10,100,Pass
ST0069,F,15,2,2,2,0,yes,no,0,11,10,11,100,Pass
ST0070,F,15,3,1,4,0,yes,no,6,15,15,15,94,Pass
ST0071,M,16,3,1,4,0,yes,no,2,13,11,11,98,Pass
ST0072,M,15,4,2,4,0,yes,no,0,11,9,10,100,Pass
ST0073,F,15,1,1,2,0,yes,no,2,13,11,11,98,Pass
ST0074,M,16,3,1,1,0,no,yes,0,13,13,14,100,Pass
ST0075,F,16,3,3,2,0,yes,yes,4,11,11,11,96,Pass
ST0076,M,15,4,3,2,0,yes,yes,0,11,11,11,100,Pass
ST0077,M,15,4,0,4,0,yes,yes,0,12,11,11,100,Pass
ST0078,F,16,2,2,4,0,yes,no,1,13,13,13,99,Pass
ST0079,M,17,2,1,1,3,yes,yes,0,9,9,10,100,Pass
ST0080,F,16,3,4,2,0,yes,no,14,12,11,11,86,Pass
ST0081,M,15,2,3,1,0,yes,yes,0,11,11,12,100,Pass
ST0082,M,15,2,3,3,0,yes,no,2,10,9,9,98,Fail
ST0083,F,15,3,2,2,0,yes,no,4,12,11,11,96,Pass
ST0084,M,15,2,2,2,0,yes,yes,2,13,12,13,98,Pass
ST0085,F,15,1,1,2,0,yes,yes,2,13,12,12,98,Pass
ST0086,F,15,4,4,2,0,yes,no,4,12,11,12,96,Pass
ST0087,F,16,2,2,2,0,no,no,6,13,11,11,94,Pass
ST0088,F,15,4,2,3,0,yes,yes,4,15,15,15,96,Pass
ST0089,M,16,2,2,2,0,yes,yes,6,12,10,11,94,Pass
ST0090,M,16,4,4,2,0,no,no,6,9,9,10,94,Pass
ST0091,F,16,3,3,3,0,yes,no,2,9,11,11,98,Pass
ST0092,F,15,4,3,1,0,yes,yes,6,14,13,13,94,Pass
ST0093,F,16,3,1,2,0,no,no,0,12,13,12,100,Pass
ST0094,F,16,4,2,2,0,yes,yes,2,13,14,14,98,Pass
ST0095,M,15,2,2,4,0,yes,yes,2,11,12,12,98,Pass
ST0096,F,15,1,1,4,0,yes,yes,4,13,13,13,96,Pass
ST0097,M,16,4,3,1,0,yes,yes,6,9,11,11,94,Pass
ST0098,F,16,2,1,2,0,no,no,0,13,12,12,100,Pass
ST0099,F,16,4,4,1,0,yes,yes,4,12,13,13,96,Pass
ST0100,F,16,4,3,3,0,yes,no,2,12,13,13,98,Pass
ST0101,M,16,4,4,1,0,yes,yes,12,9,9,8,88,Fail
ST0102,M,16,4,4,3,0,yes,yes,0,16,16,16,100,Pass
ST0103,M,15,4,4,1,0,yes,yes,2,12,13,12,98,Pass
ST0104,F,15,3,2,2,0,yes,no,16,11,10,10,84,Pass
ST0105,M,15,3,4,2,0,yes,yes,0,16,16,16,100,Pass
ST0106,F,15,3,3,4,0,no,no,10,10,10,10,90,Pass
ST0107,F,15,2,2,4,0,yes,no,4,10,10,10,96,Pass
ST0108,M,16,3,3,3,0,yes,yes,4,13,14,14,96,Pass
ST0109,M,15,4,4,4,0,yes,yes,8,12,10,11,92,Pass
ST0110,F,16,4,4,3,0,yes,yes,2,15,15,14,98,Pass
ST0111,M,15,4,4,1,0,yes,yes,4,13,14,14,96,Pass
ST0112,F,16,3,3,3,0,yes,yes,4,11,11,11,96,Pass
ST0113,F,16,2,2,2,1,yes,yes,12,8,10,10,88,Pass
ST0114,M,15,4,2,1,0,yes,no,10,18,17,18,90,Pass
ST0115,M,15,2,1,2,0,yes,yes,4,10,9,10,96,Pass
ST0116,M,16,4,4,2,0,yes,yes,6,16,14,14,94,Pass
ST0117,M,15,4,4,2,0,no,yes,4,16,15,16,96,Pass
ST0118,M,16,3,3,1,0,yes,yes,6,14,14,15,94,Pass
ST0119,M,17,1,3,2,1,yes,yes,14,12,11,11,86,Pass
ST0120,M,15,3,4,1,0,yes,no,2,14,13,14,98,Pass
ST0121,F,15,1,2,2,0,yes,no,0,14,14,14,100,Pass
ST0122,M,15,2,2,4,0,yes,yes,6,14,13,13,94,Pass
ST0123,F,16,2,4,2,0,yes,yes,2,14,12,13,98,Pass
ST0124,M,16,4,4,1,0,yes,yes,4,12,13,13,96,Pass
ST0125,F,16,2,2,2,0,yes,no,0,12,11,11,100,Pass
ST0126,M,15,3,4,1,0,yes,no,2,9,9,9,98,Fail
ST0127,F,15,3,4,2,0,yes,yes,0,10,11,11,100,Pass
ST0128,F,19,0,1,2,2,no,no,0,9,10,11,100,Pass
ST0129,M,16,4,4,1,0,yes,yes,8,14,14,15,92,Pass
ST0130,M,16,2,3,3,0,yes,no,4,13,12,13,96,Pass
ST0131,F,15,3,4,3,0,yes,no,0,10,11,12,100,Pass
ST0132,F,18,2,1,2,3,yes,yes,10,10,9,8,90,Fail
ST0133,F,17,2,1,1,0,yes,no,8,11,10,11,92,Pass
ST0134,F,15,1,1,1,0,yes,yes,6,11,12,13,94,Pass
ST0135,F,17,2,2,1,0,yes,no,2,13,12,12,98,Pass
ST0136,F,16,3,4,1,0,yes,no,12,15,13,14,88,Pass
ST0137,M,16,2,1,1,0,no,no,4,9,9,11,96,Pass
ST0138,F,16,2,2,1,1,no,no,12,13,11,11,88,Pass
ST0139,M,15,3,4,2,0,no,no,2,12,11,11,98,Pass
ST0140,F,15,4,4,3,0,yes,yes,4,13,14,15,96,Pass
ST0141,M,17,3,4,2,0,no,no,2,10,9,10,98,Pass
ST0142,F,16,1,1,2,0,no,no,0,14,13,13,100,Pass
ST0143,M,18,3,1,1,0,yes,yes,2,11,11,12,98,Pass
ST0144,F,18,3,2,3,0,yes,yes,10,12,11,11,90,Pass
ST0145,F,16,1,1,1,0,no,yes,8,12,11,11,92,Pass
ST0146,F,16,3,3,1,0,yes,yes,4,9,9,10,96,Pass
ST0147,M,16,1,1,2,2,no,no,0,10,10,10,100,Pass
ST0148,F,15,4,4,1,0,yes,yes,6,13,14,14,94,Pass
ST0149,F,15,1,1,1,1,yes,yes,2,8,9,9,98,Fail
ST0150,M,15,4,3,4,0,yes,no,6,9,11,11,94,Pass
ST0151,F,15,3,3,2,0,no,no,24,9,8,9,76,Fail
ST0152,M,16,4,4,3,0,yes,yes,0,15,13,13,100,Pass
ST0153,M,16,2,2,1,0,yes,yes,4,12,11,11,96,Pass
ST0154,F,15,4,4,3,0,yes,yes,2,13,13,13,98,Pass
ST0155,F,16,1,1,1,0,yes,no,4,10,11,11,96,Pass
ST0156,M,17,2,1,1,0,yes,no,22,9,7,6,78,Fail
ST0157,F,15,1,1,2,0,yes,no,0,12,12,12,100,Pass
ST0158,F,15,2,1,1,0,yes,yes,0,11,10,10,100,Pass
ST0159,F,15,3,2,2,1,yes,no,2,11,11,11,98,Pass
ST0160,F,15,1,2,2,0,yes,no,6,13,12,13,94,Pass
ST0161,F,15,1,2,2,0,no,no,6,11,11,11,94,Pass
ST0162,M,16,4,4,1,0,yes,no,16,9,9,8,84,Fail
ST0163,M,15,2,1,1,0,yes,no,0,12,11,11,100,Pass
ST0164,M,18,1,1,1,2,yes,no,0,11,9,0,100,Fail
ST0165,M,16,2,1,1,1,no,yes,6,9,10,10,94,Pass
ST0166,F,15,3,3,3,0,yes,yes,2,13,13,13,98,Pass
ST0167,M,19,3,2,1,0,yes,no,6,11,9,11,94,Pass
ST0168,F,17,4,4,1,0,no,no,0,13,13,13,100,Pass
ST0169,M,15,2,3,2,0,no,yes,0,7,8,8,100,Fail
ST0170,M,17,1,2,1,3,no,no,14,9,8,10,86,Pass
ST0171,F,18,1,1,1,3,no,yes,6,11,10,11,94,Pass
ST0172,M,16,2,2,1,0,no,no,4,12,10,11,96,Pass
ST0173,M,16,3,3,2,1,yes,no,0,10,10,1,100,Fail
ST0174,M,16,1,2,1,2,yes,no,0,9,8,10,100,Pass
ST0175,M,17,2,1,1,1,yes,yes,8,8,8,9,92,Fail
ST0176,M,17,3,2,2,2,yes,no,4,7,6,8,96,Fail
ST0177,M,15,1,2,1,0,no,yes,2,8,9,10,98,Pass
ST0178,M,16,1,3,1,1,yes,no,2,9,8,8,98,Fail
ST0179,M,17,1,1,2,0,no,yes,0,8,8,8,100,Fail
ST0180,M,17,3,2,1,3,no,yes,10,8,7,8,90,Fail
ST0181,M,16,2,2,2,0,yes,no,0,9,10,11,100,Pass
ST0182,F,16,4,2,2,0,yes,no,0,17,17,18,100,Pass
ST0183,F,16,2,2,2,0,yes,no,0,12,12,13,100,Pass
ST0184,F,16,4,4,2,0,yes,no,0,16,16,17,100,Pass
ST0185,M,16,3,4,1,1,yes,yes,4,9,9,10,96,Pass
ST0186,M,16,1,0,2,0,yes,yes,0,16,17,18,100,Pass
ST0187,M,17,4,4,2,0,yes,yes,0,11,9,10,100,Pass
ST0188,F,16,1,3,2,0,yes,yes,0,14,13,13,100,Pass
ST0189,F,16,3,3,2,0,yes,yes,0,14,14,15,100,Pass
ST0190,M,17,4,3,2,0,yes,yes,0,10,11,11,100,Pass
ST0191,F,16,2,2,2,0,yes,yes,0,13,12,14,100,Pass
ST0192,M,17,3,3,2,0,yes,yes,4,11,9,10,96,Pass
ST0193,M,16,4,2,1,0,yes,yes,8,10,9,11,92,Pass
ST0194,M,17,4,3,2,0,yes,yes,4,11,11,13,96,Pass
ST0195,M,16,4,3,2,0,yes,yes,4,11,10,11,96,Pass
ST0196,M,16,3,3,2,0,yes,yes,0,11,12,13,100,Pass
ST0197,F,17,2,4,2,0,no,yes,0,17,18,17,100,Pass
ST0198,F,17,3,3,2,0,yes,yes,32,14,13,14,68,Pass
ST0199,F,16,3,2,2,0,yes,no,8,14,15,16,92,Pass
ST0200,M,17,3,3,2,0,yes,yes,6,11,13,14,94,Pass
ST0201,M,16,1,2,1,0,yes,yes,0,10,9,11,100,Pass
ST0202,M,16,2,1,2,0,yes,yes,0,13,14,16,100,Pass
ST0203,F,17,3,3,2,0,yes,no,10,12,13,14,90,Pass
ST0204,M,17,1,2,2,0,no,no,6,9,9,10,94,Pass
ST0205,F,16,2,3,2,0,yes,no,6,12,12,13,94,Pass
ST0206,F,17,1,1,2,0,yes,yes,0,12,11,12,100,Pass
ST0207,M,17,1,2,2,0,yes,yes,16,10,11,12,84,Pass
ST0208,M,16,3,3,1,0,yes,yes,0,11,10,10,100,Pass
ST0209,M,16,2,3,1,0,yes,no,0,13,12,12,100,Pass
ST0210,F,17,2,4,2,0,yes,yes,8,14,15,16,92,Pass
ST0211,M,17,4,4,1,0,yes,no,4,13,13,14,96,Pass
ST0212,M,16,3,3,1,0,yes,yes,16,10,11,12,84,Pass
ST0213,F,17,4,4,1,1,yes,no,30,14,15,16,70,Pass
ST0214,F,16,4,4,2,0,yes,no,0,11,10,11,100,Pass
ST0215,F,16,4,3,2,0,yes,yes,2,14,14,15,98,Pass
ST0216,F,16,2,3,2,0,no,yes,4,11,12,12,96,Pass
ST0217,F,17,1,1,2,0,no,no,0,14,15,15,100,Pass
ST0218,F,17,2,2,1,0,yes,no,21,13,13,13,79,Pass
ST0219,F,16,2,2,4,0,yes,yes,6,13,13,13,94,Pass
ST0220,F,17,3,4,3,1,yes,no,14,8,9,8,86,Fail
ST0221,F,16,3,1,2,0,yes,no,2,11,11,12,98,Pass
ST0222,F,16,4,3,2,0,yes,yes,4,14,15,15,96,Pass
ST0223,F,16,1,1,1,0,no,no,2,12,13,13,98,Pass
ST0224,F,17,4,3,3,0,yes,yes,0,11,12,12,100,Pass
ST0225,F,19,3,3,4,0,yes,yes,4,12,12,12,96,Pass
ST0226,M,17,4,4,2,0,yes,no,15,13,12,12,85,Pass
ST0227,F,16,2,2,2,0,yes,no,0,13,13,13,100,Pass
ST0228,M,18,2,2,2,0,yes,yes,10,12,11,11,90,Pass
ST0229,F,17,4,4,1,0,no,no,6,12,11,11,94,Pass
ST0230,F,17,3,2,2,0,yes,no,2,14,16,15,98,Pass
ST0231,F,17,4,3,2,0,yes,no,16,11,9,10,84,Pass
ST0232,M,18,3,3,2,0,yes,no,10,10,10,10,90,Pass
ST0233,F,17,2,3,1,0,no,no,4,12,13,13,96,Pass
ST0234,F,17,2,2,3,0,yes,yes,0,12,12,13,100,Pass
ST0235,F,17,2,1,2,0,yes,yes,0,11,10,11,100,Pass
